participant_id,task,layout,orientation
67eb4effae47ce8d18f8c833,compare_height,vertical,horizontal
67eb4effae47ce8d18f8c833,compare_height,horizontal,horizontal
67eb4effae47ce8d18f8c833,compare_height,vertical,vertical
65c017a404cde4687fdad22e,compare_index,horizontal,vertical
67f058dce683a97f0d5b13b4,compare_index,vertical,vertical
67e3126f2bfefc992d4dace9,compare_length,horizontal,vertical
67ef3211d6980edfad3bdcf1,compare_height,horizontal,horizontal
67e9728e0e7390c9a1ad6a7a,compare_index,vertical,horizontal
67eab317b6f969b3df440160,compare_index,vertical,vertical
67ef3211d6980edfad3bdcf1,compare_height,vertical,vertical
67fca74d1db2eac7da789e1e,compare_index,horizontal,vertical
6324d39a34afdb6e1f9e5b59,compare_index,vertical,vertical
67e992dd7f3e32ea5b32ffc3,compare_index,horizontal,vertical
67d71a019290507d8b21684f,compare_height,vertical,horizontal
676704691ede35bea425d1d2,compare_index,horizontal,horizontal
67644ea3952ac4fc11cb8369,compare_index,horizontal,vertical
67644ea3952ac4fc11cb8369,compare_index,vertical,vertical
67eec1cf02e625e0d469f1ed,compare_index,horizontal,horizontal
67f058dce683a97f0d5b13b4,compare_index,horizontal,horizontal
67f058dce683a97f0d5b13b4,compare_index,vertical,horizontal
677c4503a1918a39cb7b88dd,compare_height,vertical,horizontal
67dc4af0acb95ecbe688fb6c,compare_index,vertical,horizontal
67ef3211d6980edfad3bdcf1,compare_height,vertical,horizontal
67e3126f2bfefc992d4dace9,compare_length,horizontal,horizontal
67e992dd7f3e32ea5b32ffc3,compare_index,vertical,horizontal
67e3126f2bfefc992d4dace9,compare_length,vertical,horizontal
67d4921202333fa45206b872,compare_height,horizontal,vertical
67e992dd7f3e32ea5b32ffc3,compare_index,vertical,vertical
65c017a404cde4687fdad22e,compare_index,vertical,vertical
67d4921202333fa45206b872,compare_height,horizontal,horizontal
67d71a019290507d8b21684f,compare_height,vertical,vertical
67e3126f2bfefc992d4dace9,compare_length,vertical,vertical
