participant_id,task,stimuli_number,trial_number,layout,orientation,correct,response,duration,time_when
66073d09f66221547cbf2599,compare_height,87,18,vertical,vertical,1,2,1513,16:26.6
67d5d4fbc30550918f98abef,compare_height,42,18,horizontal,vertical,1,1,2675.3,21:27.7
67ca31cb2da341032af721d3,compare_height,77,24,horizontal,horizontal,1,1,2081,26:16.0
67eb4effae47ce8d18f8c833,compare_height,57,9,horizontal,horizontal,1,2,358.8,34:39.5
5e84bd7c34d5d9072128fac1,compare_index,81,0,vertical,horizontal,1,1,1009,43:15.0
5e0b416415ef4038dba6d93f,compare_length,43,21,vertical,horizontal,1,1,1192,43:17.2
67eceb1d5f0b5f9f2743964e,compare_length,30,21,horizontal,horizontal,1,2,775,43:14.4
5b5a822e1ad8270001c4f28d,compare_index,22,20,horizontal,vertical,0,2,1106.9,43:16.3
67eceb1d5f0b5f9f2743964e,compare_length,44,11,vertical,horizontal,1,2,1013.8,45:10.9
5b5a822e1ad8270001c4f28d,compare_index,52,4,vertical,vertical,1,1,1242.9,45:13.2
5e0b416415ef4038dba6d93f,compare_length,85,27,horizontal,vertical,1,2,732,45:14.7
67eceb1d5f0b5f9f2743964e,compare_length,37,12,vertical,horizontal,1,2,1064,45:12.8
5b5a822e1ad8270001c4f28d,compare_index,-999,5,vertical,vertical,1,1,814.1,45:14.8
5e0b416415ef4038dba6d93f,compare_length,76,28,horizontal,vertical,0,1,704,45:16.3
67eceb1d5f0b5f9f2743964e,compare_length,48,13,vertical,horizontal,1,1,1010.9,45:14.7
5b5a822e1ad8270001c4f28d,compare_index,35,6,vertical,vertical,0,2,1556.3,45:17.2
5e0b416415ef4038dba6d93f,compare_length,93,29,horizontal,vertical,1,2,1065,45:18.3
5e84bd7c34d5d9072128fac1,compare_index,99,0,horizontal,horizontal,1,1,939,45:17.2
67eceb1d5f0b5f9f2743964e,compare_length,-999,14,vertical,horizontal,1,2,851.2,45:16.4
5e0b416415ef4038dba6d93f,compare_length,91,30,horizontal,vertical,1,1,783,45:19.9
5b5a822e1ad8270001c4f28d,compare_index,45,7,vertical,vertical,0,1,1247.3,45:19.3
5e84bd7c34d5d9072128fac1,compare_index,96,1,horizontal,horizontal,1,1,753,45:18.8
67eceb1d5f0b5f9f2743964e,compare_length,57,15,vertical,horizontal,1,1,895.1,45:18.1
5e0b416415ef4038dba6d93f,compare_length,67,31,horizontal,vertical,1,1,1205,45:22.0
5e84bd7c34d5d9072128fac1,compare_index,125,2,horizontal,horizontal,1,2,838,45:20.5
5b5a822e1ad8270001c4f28d,compare_index,50,8,vertical,vertical,1,1,1415.9,45:21.5
67eceb1d5f0b5f9f2743964e,compare_length,40,16,vertical,horizontal,1,1,860.3,45:19.8
5e0b416415ef4038dba6d93f,compare_length,-999,32,horizontal,vertical,1,1,672,45:23.5
67eceb1d5f0b5f9f2743964e,compare_length,35,17,vertical,horizontal,1,1,939.5,45:21.6
5e84bd7c34d5d9072128fac1,compare_index,117,3,horizontal,horizontal,1,1,1233,45:22.6
5b5a822e1ad8270001c4f28d,compare_index,47,9,vertical,vertical,1,2,1202.1,45:23.6
5e0b416415ef4038dba6d93f,compare_length,88,33,horizontal,vertical,1,1,720,45:25.1
5e84bd7c34d5d9072128fac1,compare_index,107,4,horizontal,horizontal,1,2,857,45:24.3
67eceb1d5f0b5f9f2743964e,compare_length,32,18,vertical,horizontal,1,1,988.2,45:23.4
5e0b416415ef4038dba6d93f,compare_length,83,34,horizontal,vertical,1,1,756,45:26.7
5e84bd7c34d5d9072128fac1,compare_index,-999,5,horizontal,horizontal,1,2,505,45:25.6
67eceb1d5f0b5f9f2743964e,compare_length,46,19,vertical,horizontal,1,2,986.8,45:25.3
5e0b416415ef4038dba6d93f,compare_length,77,35,horizontal,vertical,1,2,776,45:28.3
5b5a822e1ad8270001c4f28d,compare_index,34,10,vertical,vertical,1,1,3183.1,45:27.6
5e84bd7c34d5d9072128fac1,compare_index,104,6,horizontal,horizontal,1,2,1066,45:27.5
67eceb1d5f0b5f9f2743964e,compare_length,50,20,vertical,horizontal,1,1,1082.5,45:27.2
5e84bd7c34d5d9072128fac1,compare_index,116,7,horizontal,horizontal,1,1,783,45:29.2
67eceb1d5f0b5f9f2743964e,compare_length,41,21,vertical,horizontal,1,1,1009.8,45:29.1
